isin;tickerSymbol;currency	
US90269A2785;MLPR;USD	
NL0009690239;TRET;CHF	
CH0522159026;RENAUL;CHF	
CH0460054437;ARO19;CHF	
CH1184694722;BAA22;CHF	
CH0326371462;SUL161;CHF	
CH0482172415;GRC19;CHF	
CH1112011577;BS21;CHF	
CA82509L1076;SHOP;CAD	
